timestamp(ms),ECG_comp,Detetcted R wave,ECG_amp,
"1742240419.957","0",,,
"1742240419.959",,"0",,
"1742240419.961",,,"2.39",
"1742240419.962","0",,,
"1742240419.964",,"0",,
"1742240419.966",,,"2.4",
"1742240419.968","0",,,
"1742240419.969",,"0",,
"1742240419.971",,,"2.4",
"1742240419.973","0",,,
"1742240419.974",,"0",,
"1742240419.976",,,"2.42",
"1742240419.978","0",,,
"1742240419.98",,"0",,
"1742240419.981",,,"2.43",
"1742240419.983","0",,,
"1742240419.985",,"0",,
"1742240419.986",,,"2.44",
"1742240419.988","0",,,
"1742240419.99",,"0",,
"1742240419.991",,,"2.45",
"1742240419.992","0",,,
"1742240419.994",,"0",,
"1742240419.996",,,"2.45",
"1742240419.997","0",,,
"1742240419.999",,"0",,
"1742240420.001",,,"2.46",
"1742240420.002","0",,,
"1742240420.004",,"0",,
"1742240420.006",,,"2.46",
"1742240420.007","0",,,
"1742240420.009",,"0",,
"1742240420.011",,,"2.44",
"1742240420.012","0",,,
"1742240420.014",,"0",,
"1742240420.016",,,"2.45",
"1742240420.017","0",,,
"1742240420.019",,"0",,
"1742240420.021",,,"2.44",
"1742240420.023","0",,,
"1742240420.024",,"0",,
"1742240420.026",,,"2.41",
"1742240420.028","0",,,
"1742240420.029",,"0",,
"1742240420.031",,,"2.4",
"1742240420.032","0",,,
"1742240420.034",,"0",,
"1742240420.035",,,"2.39",
"1742240420.037","0",,,
"1742240420.039",,"0",,
"1742240420.041",,,"2.38",
"1742240420.042","0",,,
"1742240420.044",,"0",,
"1742240420.046",,,"2.38",
"1742240420.047","0",,,
"1742240420.049",,"0",,
"1742240420.051",,,"2.37",
"1742240420.052","0",,,
"1742240420.054",,"0",,
"1742240420.056",,,"2.36",
"1742240420.057","0",,,
"1742240420.059",,"0",,
"1742240420.061",,,"2.35",
"1742240420.062","0",,,
"1742240420.064",,"0",,
"1742240420.066",,,"2.35",
"1742240420.067","0",,,
"1742240420.069",,"0",,
"1742240420.071",,,"2.34",
"1742240420.072","0",,,
"1742240420.074",,"0",,
"1742240420.076",,,"2.34",
"1742240420.077","0",,,
"1742240420.079",,"0",,
"1742240420.08",,,"2.35",
"1742240420.082","0",,,
"1742240420.083",,"0",,
"1742240420.085",,,"2.33",
"1742240420.087","0",,,
"1742240420.089",,"0",,
"1742240420.09",,,"2.33",
"1742240420.092","0",,,
"1742240420.094",,"0",,
"1742240420.096",,,"2.33",
"1742240420.097","0",,,
"1742240420.099",,"0",,
"1742240420.101",,,"2.34",
"1742240420.102","0",,,
"1742240420.104",,"0",,
"1742240420.106",,,"2.33",
"1742240420.107","0",,,
"1742240420.111",,"0","2.31",
"1742240420.112","0",,,
"1742240420.114",,"0",,
"1742240420.116",,,"2.31",
"1742240420.117","0",,,
"1742240420.119",,"0",,
"1742240420.121",,,"2.29",
"1742240420.122","0",,,
"1742240420.124",,"0",,
"1742240420.126",,,"2.25",
"1742240420.128","0",,,
"1742240420.129",,"0",,
"1742240420.131",,,"2.24",
"1742240420.133","0",,,
"1742240420.135",,"0",,
"1742240420.136",,,"2.31",
"1742240420.138","0",,,
"1742240420.14",,"0",,
"1742240420.141",,,"2.5",
"1742240420.143","0",,,
"1742240420.145",,"0",,
"1742240420.147",,,"2.76",
"1742240420.148","5",,,
"1742240420.151",,"1",,
"1742240420.153",,"0",,
"1742240420.154",,,"3.02",
"1742240420.155","5",,,
"1742240420.157",,"0",,
"1742240420.158",,,"3.14",
"1742240420.16","5",,,
"1742240420.162",,"0",,
"1742240420.163",,,"3.02",
"1742240420.164","5",,,
"1742240420.166",,"0",,
"1742240420.167",,,"2.68",
"1742240420.169","5",,,
"1742240420.171",,"0",,
"1742240420.172",,,"2.4",
"1742240420.175","0","0",,
"1742240420.176",,,"2.23",
"1742240420.178","0",,,
"1742240420.18",,"0",,
"1742240420.181",,,"2.14",
"1742240420.182","0",,,
