timestamp(ms),Detected_R_wave,Pace,ECG_amp,ECG_comp,
"1742502895.389",,,"2.23",,
"1742502895.391",,,,"0",
"1742502895.392","0",,,,
"1742502895.393",,"0",,,
"1742502895.394",,,"2.23",,
"1742502895.396",,,,"0",
"1742502895.398","0","0",,,
"1742502895.4",,,"2.23",,
"1742502895.401",,,,"0",
"1742502895.403","0",,,,
"1742502895.404",,"0",,,
"1742502895.405",,,"2.23",,
"1742502895.406",,,,"0",
"1742502895.408","0",,,,
"1742502895.409",,"0",,,
"1742502895.41",,,"2.23",,
"1742502895.411",,,,"0",
"1742502895.413","0",,,,
"1742502895.414",,"0",,,
"1742502895.415",,,"2.24",,
"1742502895.417",,,,"0",
"1742502895.418","0",,,,
"1742502895.419",,"0",,,
"1742502895.421",,,"2.24",,
"1742502895.422",,,,"0",
"1742502895.424","0","0",,,
"1742502895.426",,,"2.24",,
"1742502895.427",,,,"0",
"1742502895.429","0",,,,
"1742502895.43",,"0",,,
"1742502895.431",,,"2.24",,
"1742502895.432",,,,"0",
"1742502895.434","0",,,,
"1742502895.435",,"0",,,
"1742502895.436",,,"2.24",,
"1742502895.437",,,,"0",
"1742502895.439","0",,,,
"1742502895.44",,"0",,,
"1742502895.441",,,"2.24",,
"1742502895.443",,,,"0",
"1742502895.444","0",,,,
"1742502895.445",,"0",,,
"1742502895.447",,,"2.25",,
"1742502895.448",,,,"0",
"1742502895.45","0","0",,,
"1742502895.452",,,"2.24",,
"1742502895.453",,,,"0",
"1742502895.455","0","0",,,
"1742502895.457",,,"2.24",,
"1742502895.458",,,,"0",
"1742502895.46","0",,,,
"1742502895.461",,"0",,,
"1742502895.462",,,"2.25",,
"1742502895.464",,,,"0",
"1742502895.465","0",,,,
"1742502895.466",,"0",,,
"1742502895.467",,,"2.25",,
"1742502895.469",,,,"0",
"1742502895.47","0",,,,
"1742502895.471",,"0",,,
"1742502895.472",,,"2.25",,
"1742502895.474",,,,"0",
"1742502895.475","0",,,,
"1742502895.476",,"0",,,
"1742502895.478",,,"2.24",,
"1742502895.479",,,,"0",
"1742502895.481","0",,,,
"1742502895.482",,"0",,,
"1742502895.483",,,"2.25",,
"1742502895.484",,,,"0",
"1742502895.486","0",,,,
"1742502895.487",,"0",,,
"1742502895.488",,,"2.25",,
"1742502895.489",,,,"0",
"1742502895.491","0",,,,
"1742502895.492",,"0",,,
"1742502895.493",,,"2.25",,
"1742502895.495",,,,"0",
"1742502895.496","0",,,,
"1742502895.497",,"0",,,
"1742502895.498",,,"2.25",,
"1742502895.5",,,,"0",
"1742502895.501","0",,,,
"1742502895.502",,"0",,,
"1742502895.503",,,"2.25",,
"1742502895.505",,,,"0",
"1742502895.507","0","0",,,
"1742502895.509",,,"2.25",,
"1742502895.51",,,,"0",
"1742502895.512","0",,,,
"1742502895.513",,"0",,,
"1742502895.514",,,"2.25",,
"1742502895.515",,,,"0",
"1742502895.517","0",,,,
"1742502895.518",,"0",,,
"1742502895.519",,,"2.25",,
"1742502895.521",,,,"0",
"1742502895.522","0",,,,
"1742502895.523",,"0",,,
"1742502895.524",,,"2.25",,
"1742502895.526",,,,"0",
"1742502895.528","0","0",,,
"1742502895.529",,,"2.26",,
"1742502895.531",,,,"0",
"1742502895.533","0",,,,
"1742502895.534",,"0",,,
"1742502895.535",,,"2.26",,
"1742502895.536",,,,"0",
"1742502895.538","0",,,,
"1742502895.539",,"0",,,
"1742502895.54",,,"2.25",,
"1742502895.541",,,,"0",
"1742502895.543","0",,,,
"1742502895.544",,"0",,,
"1742502895.545",,,"2.25",,
"1742502895.547",,,,"0",
"1742502895.548","0",,,,
"1742502895.549",,"0",,,
"1742502895.55",,,"2.26",,
"1742502895.552",,,,"0",
"1742502895.553","0",,,,
"1742502895.554",,"0",,,
"1742502895.555",,,"2.26",,
"1742502895.557",,,,"0",
"1742502895.559","0","0",,,
"1742502895.561",,,"2.25",,
"1742502895.562",,,,"0",
"1742502895.564","0",,,,
"1742502895.565",,"0",,,
"1742502895.566",,,"2.26",,
"1742502895.567",,,,"0",
"1742502895.569","0",,,,
"1742502895.57",,"0",,,
"1742502895.571",,,"2.25",,
"1742502895.572",,,,"0",
"1742502895.574","0",,,,
"1742502895.575",,"0",,,
"1742502895.576",,,"2.26",,
"1742502895.578",,,,"0",
"1742502895.58","0","0",,,
"1742502895.581",,,"2.25",,
"1742502895.583",,,,"0",
"1742502895.585","0","0",,,
"1742502895.587",,,"2.26",,
"1742502895.588",,,,"0",
"1742502895.59","0",,,,
"1742502895.591",,"0",,,
"1742502895.592",,,"2.26",,
"1742502895.593",,,,"0",
"1742502895.595","0",,,,
"1742502895.596",,"0",,,
"1742502895.597",,,"2.27",,
"1742502895.599",,,,"0",
"1742502895.6","0",,,,
"1742502895.601",,"0",,,
"1742502895.602",,,"2.27",,
"1742502895.604",,,,"0",
"1742502895.605","0",,,,
"1742502895.606",,"0",,,
"1742502895.607",,,"2.26",,
"1742502895.609",,,,"0",
"1742502895.611","0","0",,,
"1742502895.613",,,"2.26",,
"1742502895.614",,,,"0",
"1742502895.616","0","0",,,
"1742502895.618",,,"2.26",,
"1742502895.619",,,,"0",
"1742502895.621","0",,,,
"1742502895.622",,"0",,,
"1742502895.623",,,"2.26",,
"1742502895.624",,,,"0",
"1742502895.626","0",,,,
"1742502895.627",,"0",,,
"1742502895.628",,,"2.26",,
"1742502895.629",,,,"0",
"1742502895.631","0",,,,
"1742502895.632",,"0",,,
"1742502895.633",,,"2.26",,
"1742502895.635",,,,"0",
"1742502895.637","0","0",,,
"1742502895.639",,,"2.26",,
"1742502895.64",,,,"0",
"1742502895.642","0",,,,
"1742502895.643",,"0",,,
"1742502895.644",,,"2.26",,
"1742502895.645",,,,"0",
"1742502895.647","0",,,,
"1742502895.648",,"0",,,
"1742502895.649",,,"2.27",,
"1742502895.65",,,,"0",
"1742502895.652","0",,,,
"1742502895.653",,"0",,,
"1742502895.654",,,"2.26",,
"1742502895.656",,,,"0",
"1742502895.657","0",,,,
"1742502895.658",,"0",,,
"1742502895.659",,,"2.26",,
"1742502895.661",,,,"0",
