timestamp(ms),ECG_comp,Detected_R_wave,Pace,ECG_amp,
"1742503229.459",,,"0",,
"1742503229.46",,,,"2.38",
"1742503229.461","0",,,,
"1742503229.463",,"0",,,
"1742503229.464",,,"0",,
"1742503229.465",,,,"2.38",
"1742503229.466","0",,,,
"1742503229.468",,"0",,,
"1742503229.469",,,"0",,
"1742503229.47",,,,"2.38",
"1742503229.472","0",,,,
"1742503229.473",,"0",,,
"1742503229.474",,,"0",,
"1742503229.475",,,,"2.37",
"1742503229.477","0",,,,
"1742503229.478",,"0",,,
"1742503229.479",,,"0",,
"1742503229.481",,,,"2.36",
"1742503229.482","0",,,,
"1742503229.484",,"0","0",,
"1742503229.486",,,,"2.34",
"1742503229.487","0",,,,
"1742503229.489",,"0",,,
"1742503229.49",,,"0",,
"1742503229.491",,,,"2.32",
"1742503229.492","0",,,,
"1742503229.494",,"0",,,
"1742503229.495",,,"0",,
"1742503229.496",,,,"2.31",
"1742503229.497","0",,,,
"1742503229.499",,"0",,,
"1742503229.5",,,"0",,
"1742503229.501",,,,"2.3",
"1742503229.503","0",,,,
"1742503229.504",,"0",,,
"1742503229.505",,,"0",,
"1742503229.506",,,,"2.29",
"1742503229.508","0",,,,
"1742503229.51",,"0","0",,
"1742503229.512",,,,"2.28",
"1742503229.513","0",,,,
"1742503229.515",,"0",,,
"1742503229.516",,,"0",,
"1742503229.517",,,,"2.27",
"1742503229.518","0",,,,
"1742503229.52",,"0",,,
"1742503229.521",,,"0",,
"1742503229.522",,,,"2.26",
"1742503229.523","0",,,,
"1742503229.525",,"0",,,
"1742503229.526",,,"0",,
"1742503229.527",,,,"2.25",
"1742503229.529","0",,,,
"1742503229.53",,"0",,,
"1742503229.531",,,"0",,
"1742503229.533",,,,"2.25",
"1742503229.534","0",,,,
"1742503229.536",,"0","0",,
"1742503229.538",,,,"2.25",
"1742503229.539","0",,,,
"1742503229.541",,"0",,,
"1742503229.542",,,"0",,
"1742503229.543",,,,"2.24",
"1742503229.545","0",,,,
"1742503229.547",,"0","0",,
"1742503229.549",,,,"2.25",
"1742503229.55","0",,,,
"1742503229.551",,"0",,,
"1742503229.552",,,"0",,
"1742503229.553",,,,"2.24",
"1742503229.555","0",,,,
"1742503229.557",,"0","0",,
"1742503229.559",,,,"2.24",
"1742503229.56","0",,,,
"1742503229.562",,"0","0",,
"1742503229.564",,,,"2.24",
"1742503229.565","0",,,,
"1742503229.567",,"0",,,
"1742503229.568",,,"0",,
"1742503229.569",,,,"2.25",
"1742503229.57","0",,,,
"1742503229.572",,"0",,,
"1742503229.573",,,"0",,
"1742503229.574",,,,"2.24",
"1742503229.575","0",,,,
"1742503229.577",,"0",,,
"1742503229.578",,,"0",,
"1742503229.579",,,,"2.22",
"1742503229.581","0",,,,
"1742503229.582",,"0",,,
"1742503229.583",,,"0",,
"1742503229.585",,,,"2.17",
"1742503229.586","0",,,,
"1742503229.588",,"0","0",,
"1742503229.59",,,,"2.15",
"1742503229.592","0",,,,
"1742503229.594",,"0","0",,
"1742503229.595",,,,"2.21",
"1742503229.596","0",,,,
"1742503229.598",,"0",,,
"1742503229.599",,,"0",,
"1742503229.6",,,,"2.39",
"1742503229.601","0",,,,
"1742503229.603",,"0",,,
"1742503229.604",,,"0",,
"1742503229.605",,,,"2.64",
"1742503229.607","0",,,,
"1742503229.608",,"0",,,
"1742503229.609",,,"0",,
"1742503229.61",,,,"2.91",
"1742503229.612","0",,,,
"1742503229.614",,"0","0",,
"1742503229.616",,,,"3.05",
"1742503229.617","5",,,,
"1742503229.62",,"1",,,
"1742503229.622",,,"0",,
"1742503229.624",,,"1",,
"1742503229.625",,,,"2.41",
"1742503229.626","0",,,,
"1742503229.628",,"0",,,
"1742503229.629",,,"0",,
"1742503229.63",,,,"2.21",
"1742503229.632","0",,,,
"1742503229.633",,"0",,,
"1742503229.634",,,"0",,
"1742503229.635",,,,"2.09",
"1742503229.637","0",,,,
"1742503229.639",,"0","0",,
"1742503229.641",,,,"2.04",
"1742503229.642","0",,,,
"1742503229.644",,"0",,,
"1742503229.645",,,"0",,
"1742503229.646",,,,"2.03",
"1742503229.647","0",,,,
"1742503229.649",,"0",,,
"1742503229.65",,,"0",,
"1742503229.651",,,,"2.07",
"1742503229.653","0",,,,
"1742503229.654",,"0",,,
"1742503229.655",,,"0",,
"1742503229.656",,,,"2.11",
"1742503229.658","0",,,,
"1742503229.659",,"0",,,
"1742503229.66",,,"0",,
"1742503229.661",,,,"2.16",
"1742503229.663","0",,,,
"1742503229.665",,"0","0",,
"1742503229.667",,,,"2.19",
"1742503229.668","0",,,,
"1742503229.67",,"0",,,
"1742503229.671",,,"0",,
"1742503229.672",,,,"2.2",
"1742503229.673","0",,,,
"1742503229.675",,"0",,,
"1742503229.676",,,"0",,
"1742503229.677",,,,"2.21",
"1742503229.678","0",,,,
"1742503229.68",,"0",,,
"1742503229.681",,,"0",,
"1742503229.682",,,,"2.2",
"1742503229.684","0",,,,
"1742503229.685",,"0",,,
"1742503229.686",,,"0",,
"1742503229.687",,,,"2.2",
"1742503229.689","0",,,,
"1742503229.691",,"0","0",,
"1742503229.693",,,,"2.21",
"1742503229.694","0",,,,
"1742503229.696",,"0",,,
"1742503229.697",,,"0",,
"1742503229.698",,,,"2.22",
